cell_id,pocket_family,pocket_description,min_p_touch,min_p_direction,distance_low,distance_high,target_fraction,stop_atr_mult,max_hold_bars,n_trades,n_events,n_long,n_short,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,trade_sharpe,dsr,dsr_pass,bonferroni_dsr_pass,mean_r_cost_1_25x,mean_r_cost_1_50x,cost_robust,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_stability_score,temporal_stable,unique_symbols,unique_sectors,sectors_with_positive_r,per_sector_n,per_sector_mean_r,mean_r_ci95_lower,target_exit_rate,stop_exit_rate,time_exit_rate,avg_bars_held,mean_p_touch,mean_p_direction,mean_q,economic_survivor,strict_survivor,reject_reason,max_overlap_other,max_overlap_cell,max_overlap_dedupe,max_overlap_dedupe_cell,dedupe_survivor,redundant_with
normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.65,5.0,8.0,1.0,1.5,60,175,175,175,0,1.1118045780462849,0.9818994936505132,0.6857142857142857,3.978478873522526,-13.4723686272787,0.5975485680788872,7.114300730535216e-286,False,False,1.0004917765240635,0.8891789750018415,True,111,64,1.096978738263021,1.1375181439203832,0.9635372920552843,True,15,5,4,AUTO:94;BANKING:12;FMCG:17;IT:15;PHARMA:37,AUTO:+1.115;BANKING:-0.085;FMCG:+1.276;IT:+0.645;PHARMA:+1.606,0.8361328078831388,0.26857142857142857,0.2571428571428571,0.4742857142857143,22.13714285714286,0.7950136874919577,0.8743947512157222,0.4325809330520666,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h36,0.6382113821138211,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,True,
normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.5|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.6,5.0,8.0,1.0,1.5,60,176,176,176,0,1.1046480948283899,0.9809228511575596,0.6818181818181818,3.969501450393106,-13.4723686272787,0.5946277787886732,8.388220622502249e-290,False,False,0.9926562656127849,0.88066443639718,True,112,64,1.085865209632965,1.1375181439203832,0.9532403717686374,True,16,5,4,AUTO:94;BANKING:13;FMCG:17;IT:15;PHARMA:37,AUTO:+1.115;BANKING:-0.090;FMCG:+1.276;IT:+0.645;PHARMA:+1.606,0.8301884535593982,0.26704545454545453,0.2556818181818182,0.4772727272727273,22.125,0.7947767954216167,0.8730606555192092,0.4320689392343175,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.5|h36,0.9943181818181818,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h36,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.65,5.0,8.0,1.0,1.5,36,175,175,175,0,1.0537521375462808,0.9796928999797099,0.6971428571428572,4.218005012705956,-13.472368627278701,0.5924040495065764,1.4531957838998176e-302,False,False,0.9437745325617902,0.8337969275772996,True,111,64,1.0152348568198246,1.1205555463062282,0.9000517430676817,True,15,5,4,AUTO:94;BANKING:12;FMCG:17;IT:15;PHARMA:37,AUTO:+0.955;BANKING:-0.007;FMCG:+1.354;IT:+0.986;PHARMA:+1.539,0.7902054894447855,0.25142857142857145,0.21142857142857144,0.5371428571428571,20.222857142857144,0.7950136874919577,0.8743947512157222,0.4325809330520666,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.5|h36,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.6,5.0,8.0,1.0,1.5,36,176,176,176,0,1.0469254977403177,0.9794879130412045,0.6931818181818182,4.2071585832924585,-13.472368627278701,0.5894871160362557,1.141738318224587e-306,False,False,0.9362612787184794,0.825597059696641,True,112,64,1.0048511842740833,1.1205555463062282,0.8894817614325348,True,16,5,4,AUTO:94;BANKING:13;FMCG:17;IT:15;PHARMA:37,AUTO:+0.955;BANKING:-0.018;FMCG:+1.354;IT:+0.986;PHARMA:+1.539,0.7845391725848473,0.25,0.21022727272727273,0.5397727272727273,20.22159090909091,0.7947767954216167,0.8730606555192092,0.4320689392343175,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.5|h60,0.9943181818181818,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.0|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.65,5.0,8.0,1.0,1.0,60,175,175,175,0,1.0363099314703315,-0.6460066092319456,0.49142857142857144,2.359646828552685,-38.68078025855908,0.365719450631343,0.0,False,False,0.8773132291564911,0.7183165268426506,True,111,64,1.036322871663758,1.0362874883223574,0.999965856410045,True,15,5,4,AUTO:94;BANKING:12;FMCG:17;IT:15;PHARMA:37,AUTO:+0.705;BANKING:-0.139;FMCG:+2.012;IT:+1.092;PHARMA:+1.789,0.6164749243715137,0.24,0.4857142857142857,0.2742857142857143,16.302857142857142,0.7950136874919577,0.8743947512157222,0.4325809330520666,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.0|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.6,5.0,8.0,1.0,1.0,60,176,176,176,0,1.018340714290143,-0.6460821376300521,0.48863636363636365,2.3226217680417696,-38.680780258559075,0.3591332879167998,0.0,False,False,0.8583980159968386,0.698455317703534,True,112,64,1.0080854148431635,1.0362874883223574,0.9723058569143446,True,16,5,4,AUTO:94;BANKING:13;FMCG:17;IT:15;PHARMA:37,AUTO:+0.705;BANKING:-0.292;FMCG:+2.012;IT:+1.092;PHARMA:+1.789,0.5994148411286266,0.23863636363636365,0.48863636363636365,0.2727272727272727,16.306818181818183,0.7947767954216167,0.8730606555192092,0.4320689392343175,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.60|tf1.0|sl1.5|h60,0.9943181818181818,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.70|tf0.8|sl1.5|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.7,5.0,8.0,0.8,1.5,60,157,157,157,0,0.9912091623672902,0.9823120740877617,0.6878980891719745,3.7209042554085765,-14.12032539716308,0.5996963698718166,1.3327675249493013e-226,False,False,0.8842875705086879,0.7773659786500856,True,101,56,0.9165581572821369,1.125847582253013,0.7888544288070465,True,14,5,3,AUTO:87;BANKING:11;FMCG:16;IT:10;PHARMA:33,AUTO:+1.043;BANKING:-0.281;FMCG:+1.299;IT:-0.482;PHARMA:+1.575,0.7326617872113625,0.42038216560509556,0.25477707006369427,0.3248407643312102,21.089171974522294,0.7948252622152683,0.8993774679907252,0.4330566364232281,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.70|tf1.0|sl2.0|h60,0.8971428571428571,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
normal_vol_5_8_long|T0.75|D0.55|tf1.0|sl1.5|h60,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.55,5.0,8.0,1.0,1.5,60,199,199,199,0,0.9840948882969377,0.979946208664606,0.6582914572864321,3.4548460376940473,-13.4723686272787,0.5355356893552715,0.0,False,False,0.8688317277407606,0.7535685671845832,True,117,82,1.0698688583945528,0.8617100773039991,0.7884769209204332,True,16,5,4,AUTO:103;BANKING:16;FMCG:18;IT:23;PHARMA:39,AUTO:+1.071;BANKING:-0.144;FMCG:+1.202;IT:+0.286;PHARMA:+1.528,0.7287788537385855,0.23618090452261306,0.2663316582914573,0.49748743718592964,21.537688442211056,0.7950661470078216,0.8400606391396737,0.4301379620580607,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.55|tf1.0|sl1.5|h36,0.8793969849246231,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
eqhl_5_8_long|T0.75|D0.55|tf1.0|sl1.5|h60,eqhl_5_8_long,"Long-only, EQHL, distance 5-8 ATR",0.75,0.55,5.0,8.0,1.0,1.5,60,111,111,111,0,0.958217869117675,0.9797780645281213,0.6576576576576577,3.304976695515686,-11.616936089815093,0.5183421948843413,1.0467631736947822e-197,False,False,0.8302215124965174,0.7022251558753596,True,68,43,0.9846691225395827,0.9163879799853559,0.9287415266573547,True,15,5,3,AUTO:46;BANKING:7;FMCG:6;IT:13;PHARMA:39,AUTO:+1.217;BANKING:+0.395;FMCG:+0.713;IT:+0.257;PHARMA:+1.026,0.6143098647531362,0.26126126126126126,0.2882882882882883,0.45045045045045046,19.27027027027027,0.7932304391839566,0.8255913507742444,0.4409110637301095,True,False,economic_survivor,1.0,eqhl_5_8_long|T0.75|D0.55|tf1.0|sl1.0|h60,0.32941176470588235,base_5_8_long|T0.75|D0.70|tf1.0|sl1.5|h60,True,
normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.0|h36,normal_vol_5_8_long,"Long-only, normal volatility, distance 5-8 ATR",0.75,0.65,5.0,8.0,1.0,1.0,36,175,175,175,0,0.9506553120461605,-0.002081047067555151,0.49714285714285716,2.2729246180778353,-38.68078025855908,0.3470531285259163,0.0,False,False,0.7926551637911534,0.6346550155361462,True,111,64,0.9331207099280242,0.9810668875948033,0.9495651294335626,True,15,5,5,AUTO:94;BANKING:12;FMCG:17;IT:15;PHARMA:37,AUTO:+0.549;BANKING:+0.064;FMCG:+2.128;IT:+1.092;PHARMA:+1.659,0.5448066088853875,0.22285714285714286,0.4742857142857143,0.3028571428571429,15.154285714285715,0.7950136874919577,0.8743947512157222,0.4325809330520666,True,False,economic_survivor,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,1.0,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60,False,normal_vol_5_8_long|T0.75|D0.65|tf1.0|sl1.5|h60
