slice_id,family,slice_value,filter_expr,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,unique_sectors,unique_symbols,top_sector,top_sector_trades,top_symbol,top_symbol_trades,long_n,short_n,target_exit_rate,stop_exit_rate,time_exit_rate,avg_bars_held,mean_p_touch,mean_p_direction,mean_q,candidate,diagnostic_only,reject_reason
time_x_distance:midday / 5-8,time_x_distance,midday / 5-8,time_bucket == 'midday' & distance_bucket == '5-8',576,0.65625,0.7221219445651751,0.5347908564468886,2.76620440639076,-210.4067642986427,0.4053160199323169,0.0,0.6164235415183322,0.5107251384714891,36,540,1.6172497747158172,0.6624467558884657,0.9548030188273515,4,8,PHARMA,288,LUPIN,144,504,72,0.296875,0.2760416666666667,0.4270833333333333,16.947916666666668,0.7791367779386277,0.7716655580236187,0.43151681195275415,True,False,candidate
time_x_distance:morning / 5-8,time_x_distance,morning / 5-8,time_bucket == 'morning' & distance_bucket == '5-8',3348,0.5824372759856631,0.6681090386253822,0.6519989541986317,2.599999350890924,-187.84366585319913,0.3953999485632206,0.0,0.5694969572955946,0.47088487596580686,1980,1368,0.6802036808378341,0.6506036354231494,0.02960004541468475,5,15,AUTO,1620,MARUTI,792,3312,36,0.33064516129032256,0.26642771804062126,0.40292712066905617,17.591995221027478,0.7846891451475624,0.8762343916342458,0.4330522376489275,True,False,candidate
time_x_direction:midday / UP,time_x_direction,midday / UP,time_bucket == 'midday' & direction == 'UP',1368,0.64546783625731,0.47989467688102355,0.7011838557479761,2.0692107351866316,-284.86702492056975,0.3063715212690092,0.0,0.34730161900469186,0.21470856112836018,252,1116,-0.5309039532504363,0.7081395288461919,1.239043482096628,4,10,PHARMA,684,LUPIN,288,1368,0,0.4415204678362573,0.2675438596491228,0.2909356725146199,14.58406432748538,0.785833105734477,0.7061462319694279,0.42053407278125354,True,False,candidate
factor_x_distance:EQHL / 5-8,factor_x_distance,EQHL / 5-8,factor_enriched == 'EQHL' & distance_bucket == '5-8',4428,0.5977868112014454,0.47812703406050433,0.5584730021078635,1.9539036088936075,-241.09160187821612,0.28200711641780485,0.0,0.33930568577808146,0.20048433749565864,2628,1800,0.5513289352651557,0.3712522583017136,0.1800766769634421,5,18,AUTO,1656,MARUTI,756,3996,432,0.28929539295392953,0.29787714543812105,0.4128274616079494,13.202574525745257,0.7933693557004057,0.8130249257580722,0.44212277796074667,True,False,candidate
volatility_x_distance:normal_vol / 5-8,volatility_x_distance,normal_vol / 5-8,vol_regime == 'normal_vol' & distance_bucket == '5-8',7632,0.5703616352201258,0.4368537442007737,0.4316159115253445,1.8503495044113352,-285.9899534897476,0.25743393318495456,0.0,0.31336669323480615,0.18987964226883863,4320,3312,0.5715143812519579,0.26120943500357696,0.3103049462483809,5,21,AUTO,3708,MARUTI,1584,7164,468,0.25484800838574423,0.3079140461215933,0.4372379454926625,14.118055555555555,0.7940688248463387,0.8344462073182702,0.43080260939301945,True,False,candidate
time_bucket:midday,time_bucket,midday,time_bucket == 'midday',1584,0.5858585858585859,0.2951491848949633,0.42804827188726613,1.5690416186057605,-448.103976529628,0.1894459040583629,0.0,0.16313704157459993,0.03112489825423663,288,1296,-0.6753172060256255,0.5108083828773162,1.1861255889029416,4,12,PHARMA,684,LUPIN,288,1368,216,0.3813131313131313,0.3143939393939394,0.3042929292929293,14.830176767676768,0.7898323284439073,0.7140424158441367,0.420459195693676,True,False,candidate
symbol:M&M,symbol,M&M,symbol == 'M&M',612,0.8496732026143791,0.9159101288858755,0.9579922533878602,6.66948943675539,-5.054356731806678,0.8014723253155736,0.0,0.7875712416773339,0.6592323544687925,288,324,1.1135797403655583,0.7402038075706019,0.3733759327949564,1,1,AUTO,612,M&M,612,576,36,0.5833333333333334,0.09313725490196079,0.3235294117647059,12.052287581699346,0.7885612783062538,0.7979281665393964,0.43373559454979976,False,True,one_symbol; one_sector
factor:ORB,factor,ORB,factor_enriched == 'ORB',36,1.0,0.8007782366274706,0.7522678036091831,inf,0.0,2.0398736878868573,5.626592430559519e-10,0.6093490615431101,0.4179198864587496,0,36,,0.8007782366274706,,1,1,AUTO,36,MARUTI,36,36,0,1.0,0.0,0.0,5.0,0.8757861635220124,0.5829340634268765,0.34520957599517577,False,True,n<100; PF<=1.30; one_symbol; one_sector
factor_x_distance:ORB / 3-5,factor_x_distance,ORB / 3-5,factor_enriched == 'ORB' & distance_bucket == '3-5',36,1.0,0.8007782366274706,0.7522678036091831,inf,0.0,2.0398736878868573,5.626592430559519e-10,0.6093490615431101,0.4179198864587496,0,36,,0.8007782366274706,,1,1,AUTO,36,MARUTI,36,36,0,1.0,0.0,0.0,5.0,0.8757861635220124,0.5829340634268765,0.34520957599517577,False,True,n<100; PF<=1.30; one_symbol; one_sector
symbol:ICICIBANK,symbol,ICICIBANK,symbol == 'ICICIBANK',180,0.85,0.7541313719732324,0.688324821706856,8.237115979255615,-2.788711295927186,0.7533822335533573,2.75377007145434e-157,0.5896640784478916,0.42519678492255064,108,72,0.46203463540130413,1.192276476831125,0.7302418414298208,1,1,BANKING,180,ICICIBANK,180,180,0,0.55,0.03333333333333333,0.4166666666666667,15.233333333333333,0.7653758447351774,0.7660301074911048,0.4083524552363868,False,True,one_symbol; one_sector
symbol:MARUTI,symbol,MARUTI,symbol == 'MARUTI',3600,0.6247222222222222,0.30514655023622467,0.5772604390574896,1.5997712679321194,-60.20184144918113,0.19514513913901985,0.0,0.14949566781658044,-0.006155214603063873,2124,1476,0.4390813728020567,0.11241107386100321,0.3266702989410535,1,1,AUTO,3600,MARUTI,3600,3492,108,0.3447222222222222,0.25972222222222224,0.39555555555555555,14.008611111111112,0.8082090672883626,0.8291062638030068,0.4225326960251827,False,True,cost1.5x<=0; one_symbol; one_sector
symbol:DIVISLAB,symbol,DIVISLAB,symbol == 'DIVISLAB',756,0.6507936507936508,0.28732256589588195,0.21354194252538788,1.7457733925796355,-12.963948535899004,0.23903195003715447,0.0,0.1501918205925579,0.01306107528923386,360,396,-0.05650896847215401,0.5998966880486419,0.656405656520796,1,1,PHARMA,756,DIVISLAB,756,684,72,0.20767195767195767,0.1111111111111111,0.6812169312169312,14.337301587301587,0.7798676769272638,0.7854584653594602,0.4302195184199417,False,True,one_symbol; one_sector
day_of_week:Friday,day_of_week,Friday,day_of_week == 'Friday',4716,0.5368956743002544,0.23614902044759198,0.29300051255680326,1.3965892836111982,-531.8651765657605,0.14283074845595942,0.0,0.09028317014774988,-0.0555826801520922,2088,2628,1.043645588454613,-0.4054235952292193,1.4490691836838323,5,17,AUTO,2016,TVSMOTOR,1224,4428,288,0.33396946564885494,0.35368956743002544,0.31234096692111957,11.340966921119593,0.8079177222463343,0.770666538446541,0.43024543195677956,False,True,second_half<=0; cost1.5x<=0; first_half_only
sector_x_direction:AUTO / UP,sector_x_direction,AUTO / UP,sector == 'AUTO' & direction == 'UP',8712,0.5580808080808081,0.2210716312520888,0.4223366529307801,1.418490498598915,-84.76584028674893,0.14719953254862989,0.0,0.07865193184057066,-0.06376776757094751,5364,3348,0.2705669889582779,0.14177261729271062,0.1287943716655673,1,5,AUTO,8712,MARUTI,3492,8712,0,0.3271349862258953,0.2902892561983471,0.38257575757575757,13.09435261707989,0.8073055684673147,0.812783078432643,0.42216851896681445,False,True,cost1.5x<=0; one_sector
