mode,cohort,fraction,pool_n,trade_n,trade_rate,win_rate,mean_r,median_r,total_r,profit_factor,mean_q,min_q,actual_strict_rate
blind_limit,all,1.0,33494,23116,0.6901534603212516,0.26700121128222876,-0.8020437041092537,-1.5683255677401777,-18540.04226418951,0.3458124071637335,0.4354998640236664,0.2343749999999999,0.43450726684587
blind_limit,top_50pct,0.5,16747,11031,0.6586851376365916,0.26969449732571843,-0.7903850562398762,-1.5421522214340195,-8718.737555382075,0.33976475622761676,0.4479389782541479,0.4347417189636295,0.45294173738914845
blind_limit,top_25pct,0.25,8374,5340,0.6376880821590638,0.28258426966292133,-0.7734408135603766,-1.519145251413439,-4130.173944412411,0.3382515013062837,0.45594292625350075,0.4536316830507161,0.4719013119248091
blind_limit,top_10pct,0.1,3350,2058,0.6143283582089553,0.2925170068027211,-0.7535795922094921,-1.5313569295500606,-1550.8668007671347,0.3566560864192217,0.4589034913260931,0.4543168356259136,0.48884381338742394
blind_limit,top_5pct,0.05,1675,1016,0.6065671641791045,0.2755905511811024,-0.8108927746472173,-1.5422820972877322,-823.8670590415728,0.32019388523973863,0.46163709689493226,0.4586622108473065,0.49794238683127573
blind_limit,top_1pct,0.01,335,190,0.5671641791044776,0.34210526315789475,-0.5832344416143517,-1.4851132290571876,-110.81454390672681,0.4589778900118249,0.4705516900310348,0.4599026135347312,0.553763440860215
displacement_confirmed,all,1.0,33494,7591,0.22663760673553474,0.39243841391121065,-0.515411711978064,-1.2903207608435483,-3912.490305625484,0.39622813678325236,0.4354998640236664,0.2343749999999999,0.43450726684587
displacement_confirmed,top_50pct,0.5,16747,3412,0.20373798292231443,0.39273153575615477,-0.5122189711650906,-1.268547092274809,-1747.6911296152891,0.38296916833192773,0.4479389782541479,0.4347417189636295,0.45294173738914845
displacement_confirmed,top_25pct,0.25,8374,1506,0.17984236923811797,0.40239043824701193,-0.4964349036718165,-1.2532390507181252,-747.6309649297556,0.38885028818085904,0.45594292625350075,0.4536316830507161,0.4719013119248091
displacement_confirmed,top_10pct,0.1,3350,599,0.17880597014925373,0.4090150250417362,-0.48874614253784104,-1.2569793325396366,-292.7589393801668,0.40282095216982833,0.4589034913260931,0.4543168356259136,0.48884381338742394
displacement_confirmed,top_5pct,0.05,1675,301,0.17970149253731343,0.42524916943521596,-0.4157217859851024,-1.0771009589443326,-125.13225758151582,0.4542744474510186,0.46163709689493226,0.4586622108473065,0.49794238683127573
displacement_confirmed,top_1pct,0.01,335,55,0.16417910447761194,0.41818181818181815,-0.4084602543221141,-1.0771009589443326,-22.465313987716275,0.4615157877792106,0.4705516900310348,0.4599026135347312,0.553763440860215
reclaim_confirmed,all,1.0,33494,7519,0.22448796799426762,0.21319324378241788,-1.046271401914718,-1.7925928841685286,-7866.9146709967645,0.3249374919140093,0.4354998640236664,0.2343749999999999,0.43450726684587
reclaim_confirmed,top_50pct,0.5,16747,3707,0.22135307816325311,0.2109522524952792,-1.0461268490961473,-1.7781127987544116,-3877.9922295994184,0.32286894060309845,0.4479389782541479,0.4347417189636295,0.45294173738914845
reclaim_confirmed,top_25pct,0.25,8374,1805,0.21554812514927155,0.20055401662049863,-1.1139077377969855,-1.7929011734665177,-2010.6034667235588,0.2988121177106035,0.45594292625350075,0.4536316830507161,0.4719013119248091
reclaim_confirmed,top_10pct,0.1,3350,689,0.20567164179104477,0.216255442670537,-1.033751408878141,-1.7884637945589577,-712.2547207170392,0.3406982516421298,0.4589034913260931,0.4543168356259136,0.48884381338742394
reclaim_confirmed,top_5pct,0.05,1675,353,0.21074626865671642,0.23229461756373937,-0.9388621302513662,-1.7663328119469595,-331.4183319787323,0.38562319673846307,0.46163709689493226,0.4586622108473065,0.49794238683127573
reclaim_confirmed,top_1pct,0.01,335,60,0.1791044776119403,0.2833333333333333,-0.6039378993154595,-1.6724227851028055,-36.23627395892757,0.5449764897893448,0.4705516900310348,0.4599026135347312,0.553763440860215
touch_confirmed,all,1.0,33494,19267,0.5752373559443482,0.3758758498987907,-0.5534036195765463,-1.2859336831491275,-10662.427538381316,0.3503918074241493,0.4354998640236664,0.2343749999999999,0.43450726684587
touch_confirmed,top_50pct,0.5,16747,9046,0.5401564459306144,0.3807207605571523,-0.5411772337288457,-1.2629433430591834,-4895.489256311139,0.34565216685149486,0.4479389782541479,0.4347417189636295,0.45294173738914845
touch_confirmed,top_25pct,0.25,8374,4294,0.5127776450919512,0.3935724266418258,-0.5247362561812755,-1.227474430461235,-2253.217484042397,0.34424975031296656,0.45594292625350075,0.4536316830507161,0.4719013119248091
touch_confirmed,top_10pct,0.1,3350,1683,0.5023880597014926,0.3998811645870469,-0.5119285546057476,-1.1928293366698122,-861.5757574014732,0.35768899636454743,0.4589034913260931,0.4543168356259136,0.48884381338742394
touch_confirmed,top_5pct,0.05,1675,833,0.4973134328358209,0.37815126050420167,-0.5463295929926468,-1.2295505558552644,-455.09255096287484,0.33414978196615663,0.46163709689493226,0.4586622108473065,0.49794238683127573
touch_confirmed,top_1pct,0.01,335,157,0.46865671641791046,0.4140127388535032,-0.4477511328922543,-0.6050990780205673,-70.29692786408393,0.4127173694534029,0.4705516900310348,0.4599026135347312,0.553763440860215
