fill_policy,mode,cohort,fraction,trade_n,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,mean_net_pnl,total_net_pnl,mean_q,min_q,actual_strict_rate
conservative,blind_limit,all,1.0,19482,0.19043219381993634,-1.1928610578705803,-1.6143717902220218,-23239.319129434647,0.08947134574497474,-23238.93213619924,-11.34204573516539,-220965.73501249214,0.4289361780346221,0.25,0.41737391210335695
conservative,blind_limit,top_25pct,0.25,5063,0.19217855026664032,-1.1659107772281123,-1.5801431618758366,-5903.0062651059325,0.09259047986950782,-5901.70243780144,-8.298876676388202,-42017.21261255347,0.448695155801011,0.3568631773120406,0.4339074496783565
conservative,blind_limit,top_10pct,0.1,2014,0.19910625620655412,-1.131170605489011,-1.5495058573782923,-2278.177599454868,0.09753061004583725,-2278.8112800714493,-6.509743646914424,-13110.62370488565,0.4539277055085483,0.3838605967078189,0.44293903074517976
conservative,blind_limit,top_5pct,0.05,982,0.21690427698574338,-1.055527070306251,-1.468339321415816,-1036.5275830407384,0.11415454300156626,-1034.807362511269,-7.379433276402514,-7246.603477427268,0.4586209166381258,0.3838605967078189,0.4731182795698925
conservative,blind_limit,top_1pct,0.01,186,0.17204301075268819,-1.2562863966568474,-1.6321719506723498,-233.6692697781736,0.07444135669031869,-231.90122569085722,-13.90168306591609,-2585.7130502603927,0.48317478680083603,0.3838605967078189,0.43859649122807015
conservative,displacement_confirmed,all,1.0,7730,0.3728331177231565,-0.6770912245033036,-1.3181031713586826,-5233.915165410537,0.23239039772895903,-5233.989644305646,-6.881868129739139,-53196.840642883544,0.4280605296180912,0.25,0.5924682528098087
conservative,displacement_confirmed,top_25pct,0.25,1853,0.3912574203993524,-0.6559586380150128,-1.2869828794810214,-1215.4913562418187,0.23569514200706443,-1215.900918722591,-5.075249716267154,-9404.437724243036,0.44864512201674206,0.3600518643006867,0.6255345143555284
conservative,displacement_confirmed,top_10pct,0.1,683,0.3938506588579795,-0.6292255592870278,-1.2692991136319036,-429.76105699304003,0.2548581276633841,-429.9129240998608,-3.760413090116443,-2568.3621405495305,0.4547115583481514,0.3600518643006867,0.6411960132890365
conservative,displacement_confirmed,top_5pct,0.05,315,0.4603174603174603,-0.47793489024905084,-0.7024429563073388,-150.549490428451,0.3543710569882627,-151.26150048678178,-3.7611752063170623,-1184.7701899898746,0.4613608193121336,0.3857031617301363,0.6911764705882353
conservative,displacement_confirmed,top_1pct,0.01,84,0.39285714285714285,-0.6353205360528053,-1.2769169588909153,-53.36692502843564,0.28238645592874356,-54.124760459394665,-7.562681136943775,-635.2652155032771,0.48500843745385663,0.3857031617301363,0.625
conservative,reclaim_confirmed,all,1.0,7683,0.14707796433684758,-1.4199786154077791,-1.8328551942102744,-10909.695702177967,0.07259223079515789,-10907.68521234582,-12.91245415172541,-99206.38524770632,0.42954864766031325,0.2941391672467585,0.7944528353700399
conservative,reclaim_confirmed,top_25pct,0.25,2059,0.1588149587178242,-1.3988261879439639,-1.8196673099460072,-2880.1831209766215,0.08382053409915452,-2878.2158969009574,-8.972173748278701,-18473.705747705844,0.44847538997536207,0.3600518643006867,0.8004104669061057
conservative,reclaim_confirmed,top_10pct,0.1,849,0.14840989399293286,-1.4237363374217056,-1.818564370844032,-1208.752150471028,0.08211592990013968,-1206.6865570999423,-6.779130328436398,-5755.481648842502,0.4534862520850289,0.3600518643006867,0.7841191066997518
