scenario,description,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,long_n,short_n,sectors_with_30_trades,top_sector,top_sector_trades,morning_trades,midday_trades,afternoon_trades,target_exit_rate,stop_exit_rate,time_exit_rate,focused_survives,strict_ready
long_ex_banking_it,"Long-only, exclude BANKING and IT",all,1.0,440,0.5704545454545454,0.360296020155986,0.45413314095076984,1.8898890867289215,-33.20025323724864,0.27531300354637805,0.0,0.272644565772039,0.18499311138809202,223,217,0.3802497998299926,0.3397905230716383,0.04045927675835426,440,0,3,PHARMA,208,167,21,252,0.27954545454545454,0.23636363636363636,0.48409090909090907,True,True
long_auto_pharma_fmcg,Long-only AUTO + PHARMA + FMCG,all,1.0,440,0.5704545454545454,0.360296020155986,0.45413314095076984,1.8898890867289215,-33.20025323724864,0.27531300354637805,0.0,0.272644565772039,0.18499311138809202,223,217,0.3802497998299926,0.3397905230716383,0.04045927675835426,440,0,3,PHARMA,208,167,21,252,0.27954545454545454,0.23636363636363636,0.48409090909090907,True,True
ex_banking_it,Exclude BANKING and IT,all,1.0,456,0.5679824561403509,0.3411996639845613,0.45095769811621234,1.8313528550056315,-32.77321780434843,0.261440578062231,0.0,0.251749537957035,0.16229941192950867,228,228,0.3741448585208511,0.30825446944827156,0.06589038907257955,440,16,3,PHARMA,214,167,21,268,0.2741228070175439,0.23684210526315788,0.48903508771929827,True,True
auto_pharma_fmcg,AUTO + PHARMA + FMCG,all,1.0,456,0.5679824561403509,0.3411996639845613,0.45095769811621234,1.8313528550056315,-32.77321780434843,0.261440578062231,0.0,0.251749537957035,0.16229941192950867,228,228,0.3741448585208511,0.30825446944827156,0.06589038907257955,440,16,3,PHARMA,214,167,21,268,0.2741228070175439,0.23684210526315788,0.48903508771929827,True,True
long_only,Only pool-side UP/long trades,all,1.0,541,0.55637707948244,0.30685957477796255,0.33931669633386646,1.7523666844460875,-32.773217804348434,0.2390809484134973,0.0,0.21832031395352772,0.1297810531290929,265,276,0.3634440334639451,0.2525302937932329,0.11091373967071222,541,0,5,PHARMA,208,209,22,310,0.27726432532347506,0.24214417744916822,0.4805914972273567,True,True
long_morning_midday_ex_banking_it,"Long-only, block afternoon, exclude BANKING and IT",all,1.0,188,0.6808510638297872,0.7622260731116388,1.0683382385977451,3.465336209464969,-15.135102350170754,0.5625507081763047,4.7953686693385365e-228,0.6882308068608409,0.6142355406100429,58,130,1.0971003181481656,0.6128206407107268,0.4842796774374387,188,0,2,PHARMA,96,167,21,0,0.44680851063829785,0.2127659574468085,0.3404255319148936,True,False
long_morning_ex_banking_it,"Long-only morning, exclude BANKING and IT",all,1.0,167,0.6526946107784432,0.6904044576928122,0.9200828871265618,3.0940119282979537,-15.135102350170754,0.5047973117538768,8.90610393503629e-229,0.6182972376075372,0.546190017522262,58,109,1.0971003181481656,0.47399748607436726,0.6231028320737984,167,0,2,PHARMA,78,167,0,0,0.40119760479041916,0.23353293413173654,0.3652694610778443,True,False
long_morning_midday,"Long-only, block afternoon",all,1.0,231,0.6233766233766234,0.6396905316219997,0.9558432809058031,2.7906402350905037,-15.135102350170754,0.46221621764667936,0.0,0.567692287417472,0.4956940432129444,77,154,0.904670256088778,0.5072006693886104,0.39746958670016763,231,0,2,PHARMA,96,209,22,0,0.42424242424242425,0.23809523809523808,0.33766233766233766,True,False
long_morning,Long-only morning,all,1.0,209,0.5933014354066986,0.5568396892411842,0.6566100307498264,2.4646671205466095,-15.502626618270597,0.4033850073039617,0.0,0.4864504773297725,0.4160612654183609,77,132,0.904670256088778,0.3539385252467545,0.5507317308420235,209,0,2,PHARMA,78,209,0,0,0.3827751196172249,0.2583732057416268,0.3588516746411483,True,False
morning_midday,Block afternoon; keep morning plus midday,all,1.0,246,0.5934959349593496,0.5405271850464268,0.6635485057276108,2.3395794430458148,-15.97275556236007,0.38291559337703546,0.0,0.46771899815592666,0.3949108112654262,77,169,0.904670256088778,0.3746158449857109,0.5300544111030672,231,15,3,PHARMA,96,218,28,0,0.4024390243902439,0.2764227642276423,0.32113821138211385,True,False
