horizon,bucket,n,positives,base_rate,mean_p_touch,auc,brier,logloss,top_decile_actual_touched,top_decile_mean_p_touch,lift_over_base_pp
78,0-1 ATR,35165,3906,0.11107635432958908,0.15479594965271953,0.7906033845662588,0.09251584370228484,0.30648488656716993,0.37048620983793007,0.5686016059267385,25.9409855508341
78,1-3 ATR,105149,12746,0.12121846142141152,0.1562194485623474,0.7957515502293414,0.09599777960930049,0.3150706398200222,0.39876367094626725,0.5589724663851001,27.754520952485574
78,12+ ATR,2256601,768,0.00034033486646509506,0.00021479415501750093,0.9973323269631255,0.0002885083187287227,0.0013011506494877408,0.0034033350911322736,0.0021479329835755747,0.3063000224667179
78,3-5 ATR,70262,9020,0.1283766474054254,0.13883909197431793,0.8134775139823684,0.09365896666420533,0.30814717837232514,0.45097481144158247,0.5222061813820456,32.2598164036157
78,3-8 ATR,124632,15401,0.1235717953655562,0.12689993536693037,0.8349697301937389,0.08743598468178534,0.2880175752732498,0.4691110397946085,0.5154273757239812,34.553924442905235
78,5-8 ATR,54370,6381,0.11736251609343389,0.1114710403596053,0.8617930219728012,0.07939406524001978,0.26200421914032296,0.49788486297590584,0.5037080256518931,38.0522346882472
78,8-12 ATR,50894,2396,0.047078241050025546,0.03514812051576456,0.8805273995086178,0.036985972924607265,0.14019208724057547,0.2728880157170923,0.24525717596516636,22.580977466706674
156,0-1 ATR,34985,4018,0.1148492210947549,0.15489214275764251,0.787775785919477,0.09459088028890954,0.3123606317449681,0.3752500714489854,0.563879067963553,26.040085035423054
156,1-3 ATR,104670,13385,0.12787809305436132,0.16226578685997728,0.7966486799348422,0.09922083411156249,0.32387079463946566,0.41950893283653384,0.5670093592088581,29.16308397821725
156,12+ ATR,2244086,977,0.00043536655903561627,0.00025084289018416524,0.993574583344656,0.0003570772871664637,0.0015970435155381044,0.004318008636017272,0.002508424430668211,0.38826420769816555
156,3-5 ATR,70667,10106,0.14300875939264437,0.15369463478228731,0.8196068937308322,0.1002029334830108,0.32405712163017913,0.4907315692656007,0.5503611080278425,34.77228098729563
156,3-8 ATR,125243,17596,0.1404948779572511,0.14559435542513624,0.8396749513339608,0.09463552544097048,0.30665955984818133,0.5204790419161677,0.5570056233541372,37.99841639589165
156,5-8 ATR,54576,7490,0.1372398123717385,0.13510581758191212,0.8641156706301177,0.08742664197375294,0.28413256082941046,0.5628435324294614,0.5656089193986451,42.56037200577229
156,8-12 ATR,51160,2928,0.05723221266614543,0.04269700512164374,0.8755853991681372,0.04385282019233342,0.1615594109348037,0.3166536356528538,0.2753601767403351,25.942142298670838
312,0-1 ATR,34610,3966,0.11459115862467495,0.15364298041346247,0.7899087897171646,0.09410566540140194,0.31121841831924774,0.37850332273909276,0.5672113886066511,26.391216411441782
312,1-3 ATR,103459,13249,0.12806039107279213,0.1585552148825842,0.7990909843469622,0.09841264675200334,0.32124026523389176,0.42112893872027835,0.565189483617807,29.306854764748625
312,12+ ATR,2228553,977,0.0004384010611369799,0.0002673173388603518,0.9949915294829118,0.0003593678467523986,0.0016208179209009966,0.00436156082851707,0.0026731649920543024,0.392315976738009
312,3-5 ATR,69681,10013,0.14369770812703606,0.15245588370749563,0.8208652150006158,0.10007677313510698,0.3241202611031412,0.496771416272062,0.5580699109619176,35.30737081450259
312,3-8 ATR,123969,17442,0.14069646443869033,0.14423342501102168,0.8394704775048663,0.09471019425912515,0.30726291257296307,0.5197225135113334,0.5608062554634452,37.902604907264305
312,5-8 ATR,54288,7429,0.1368442381373416,0.1336795430402546,0.8621284947570176,0.08782195776750108,0.2856257753984247,0.5507459937373366,0.564255847227374,41.3901755599995
312,8-12 ATR,50330,2911,0.057838267434929466,0.04344486593812078,0.8710057952772549,0.04445066585681638,0.165056164365144,0.31730578183985697,0.28211455665046153,25.94675144049275
