gate,min_p_touch,min_p_direction,distance_low,distance_high,target_fraction,stop_atr_mult,max_hold_bars,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,long_n,short_n,long_mean_r,short_mean_r,long_pf,short_pf,sectors_with_min_trades,top_sector,top_sector_trades,morning_mean_r,midday_mean_r,afternoon_mean_r,closing_mean_r,first_half_mean_r,second_half_mean_r,temporal_gap_r,temporal_stable,avg_bars_held,target_exit_rate,stop_exit_rate,time_exit_rate,mean_p_touch,mean_p_direction,mean_q,passes_min_filters
T>=0.75|D>=0.55|3-8ATR,0.75,0.55,3.0,8.0,0.6,1.0,12,all,1.0,744,0.38844086021505375,-0.3952483936761603,-1.2367023505249248,-294.0648048950633,0.5490955800077488,-334.19415236508866,-0.2706144589412344,0.0,-0.5773396204692985,-0.7594308472624367,670,74,-0.35312910868832503,-0.7765986766741291,0.5856914282682351,0.29141675310592435,5,AUTO,246,-0.294872531351872,0.09349976048342756,-0.4956778320302609,,-0.05501464854958195,-0.6355970026187893,0.5805823540692073,False,6.310483870967742,0.21908602150537634,0.4986559139784946,0.28225806451612906,0.8038455162081809,0.7903071013338321,0.4288423539641439,True
T>=0.75|D>=0.55|3-8ATR,0.75,0.55,3.0,8.0,0.6,1.0,12,top_50pct,0.5,372,0.3951612903225806,-0.39609604339665827,-1.1461869665271764,-147.34772814355688,0.5473416904013189,-177.48153155913954,-0.27382904717048134,0.0,-0.578555786205329,-0.7610155290139996,331,41,-0.3466175779929687,-0.7955441421435174,0.5931462409636177,0.2505594385189258,4,PHARMA,156,-0.31189144323747464,0.828679511803896,-0.5343204673379992,,-0.04902068311821257,-0.6128286919548144,0.5638080088366018,False,6.150537634408602,0.22043010752688172,0.5,0.27956989247311825,0.8007201912887987,0.7863174685075596,0.4426089154749015,False
T>=0.75|D>=0.55|3-8ATR,0.75,0.55,3.0,8.0,0.6,1.0,12,top_25pct,0.25,186,0.4032258064516129,-0.33991796043161066,-1.0077735031296604,-63.224740640279585,0.6156766243001836,-100.00768865955753,-0.22139035640399038,0.0,-0.5332415264937233,-0.7265650925558357,164,22,-0.23867065668846413,-1.0946705883350665,0.7152616556363104,0.10945491573705167,3,PHARMA,68,0.03261366147460033,0.9614100136325254,-0.6390004000308226,,0.035008840700022095,-0.6623550094048147,0.6973638501048368,False,6.161290322580645,0.25806451612903225,0.478494623655914,0.26344086021505375,0.7992419332267688,0.7756509873071082,0.4520837818710135,False
T>=0.75|D>=0.55|3-8ATR,0.75,0.55,3.0,8.0,0.6,1.0,12,top_10pct,0.1,75,0.36,-0.5752139356965236,-1.012738753236408,-43.14104517723927,0.3988723330652725,-55.386883645332574,-0.42415676239237393,8.05310818031422e-148,-0.7943575153593805,-1.0135010950222376,53,22,-0.3595904195069398,-1.0946705883350665,0.5738702150147709,0.10945491573705167,1,IT,38,0.655839482155433,-1.067334628474438,-0.8506462486519738,,0.09528039836661337,-0.9979168854319795,1.0931972837985928,False,5.613333333333333,0.21333333333333335,0.48,0.30666666666666664,0.7921803856023576,0.7286187403436406,0.45679470027140884,False
T>=0.75|D>=0.55|3-8ATR,0.75,0.55,3.0,8.0,0.6,1.0,12,top_5pct,0.05,38,0.3684210526315789,-0.6120447404762062,-1.3864874413787363,-23.257700138095835,0.40153998244798694,-31.412720234706708,-0.42093802932053886,1.2104372047076647e-74,-0.8085790088022895,-1.0051132771283726,24,14,-0.1921727717517979,-1.3318252582894776,0.7540885044486737,0.07269586578548336,1,IT,30,0.5260952390419108,-1.067334628474438,-1.0147685873679255,,-0.10011444672479869,-1.0264645020844885,0.9263500553596897,False,5.157894736842105,0.2631578947368421,0.5789473684210527,0.15789473684210525,0.7858795661832506,0.7371916560912651,0.46172845252320904,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,0.6,1.0,12,all,1.0,600,0.4266666666666667,-0.26579427445203785,-0.976440054204776,-159.47656467122272,0.675284104807233,-217.05946491235412,-0.1759096594477205,0.0,-0.433048160669022,-0.6003020468860062,541,59,-0.22198184797115478,-0.6675319477767458,0.7215617789942762,0.3416192593403535,5,PHARMA,214,-0.2596006336681699,0.6993987239081523,-0.3459513864434744,,0.008126159360313235,-0.4914247837625156,0.4995509431228288,False,6.43,0.24,0.49,0.27,0.8036857999281303,0.8385810009616298,0.43006216601770625,True
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,0.6,1.0,12,top_50pct,0.5,300,0.43,-0.27815882298848627,-0.9702863470311467,-83.44764689654588,0.659577910239219,-118.84415133408186,-0.18670501818038224,0.0,-0.44748559192508747,-0.6168123608616888,272,28,-0.22098319903468577,-0.8335791699682622,0.721620393294257,0.20097849331056808,3,PHARMA,137,-0.30452475841993915,0.828679511803896,-0.3717122848363257,,0.054640069186603905,-0.5191511242187239,0.5737911934053278,False,6.35,0.23333333333333334,0.49,0.27666666666666667,0.8014209136463712,0.8303279922911365,0.44202339279638314,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,0.6,1.0,12,top_25pct,0.25,150,0.46,-0.12932881134225563,-0.5119043163409333,-19.399321701338344,0.8306620050409254,-56.461355237511285,-0.08255321956536713,0.0,-0.3085697996266047,-0.4878107879109537,133,17,-0.01858385211584029,-0.995745257054799,0.974383721720166,0.06333121807339813,3,PHARMA,57,0.07808958930916693,0.9614100136325254,-0.3863983681437048,,0.23472012866563807,-0.4933777513501493,0.7280978800157873,False,6.48,0.3,0.43333333333333335,0.26666666666666666,0.7995119867025238,0.825978809305041,0.4513140249637676,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,0.6,1.0,12,top_10pct,0.1,60,0.4166666666666667,-0.394464442705984,-1.2558079157278068,-23.66786656235904,0.5554613518187098,-35.51598096344441,-0.263243229200458,3.369656246673382e-121,-0.5863411744694423,-0.7782179062329007,45,15,-0.16826024471935644,-1.0730770366658668,0.7896789271219543,0.06638566556407482,1,IT,31,0.40253801039651094,-1.067334628474438,-0.6660429874227224,,0.34962591541534827,-1.003265644805256,1.3528915602206042,False,5.65,0.25,0.5166666666666667,0.23333333333333334,0.7900904112363224,0.7930120422021661,0.4562426942613812,False
T>=0.75|D>=0.60|3-8ATR,0.75,0.6,3.0,8.0,0.6,1.0,12,top_5pct,0.05,30,0.4,-0.4579956610960437,-1.2893728774974025,-13.739869832881311,0.5056299835668678,-20.34282489856239,-0.3074928170614692,1.0678498541329225e-61,-0.6451683721496895,-0.8323410832033352,20,10,-0.020326092454576217,-1.333334798378979,0.9704339365592328,0.05053922903132274,0,IT,24,0.5260952390419108,-1.067334628474438,-0.9370084981306415,,-0.05340383687578396,-0.8625874853163037,0.8091836484405197,False,5.233333333333333,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.7869177329163558,0.7784749348700406,0.4607435562161301,False
